feature,importance
cycle_norm,0.9348713947825165
cycle_log,0.032929474862180716
cycle_sqrt,0.03175292205580755
s7_mean_20,1.3910787909342285e-05
s3_std_20,1.0537578403450104e-05
s2_mean_10,8.740329813690516e-06
s2_std_20,7.266328180357931e-06
s3_mean_20,6.9449074391722795e-06
s7_mean_10,6.724799768726197e-06
s14_mean_20,6.5883208009051e-06
s12_mean_10,6.566209051117026e-06
s12_mean_20,6.532678435758305e-06
s9_std_20,6.374298801466099e-06
s11_std_20,6.362877834419482e-06
s7_std_20,6.111277781421248e-06
s13_std_20,5.593538876071632e-06
s4_mean_20,5.461027213197307e-06
s14_mean_10,5.383111846003406e-06
s9_mean_5,5.3421095658901545e-06
s7_mean_5,5.2759638849585404e-06
